Chỉ tiêu,Đơn vị tính,Quý 1/2013,Quý 2/2013,6 tháng/2013,Quý 3/2013,9 tháng/2013,Quý 4/2013,Quý 1/2014,Quý 2/2014,6 tháng/2014,Quý 3/2014,9 tháng/2014,Quý 4/2014,Quý 1/2015,Quý 2/2015,6 tháng/2015,Quý 3/2015,9 tháng/2015,Quý 4/2015,Quý 1/2016,Quý 2/2016,6 tháng/2016,Quý 3/2016,9 tháng/2016,Quý 4/2016,Quý 1/2017,Quý 2/2017,6 tháng/2017,Quý 3/2017,9 tháng/2017,Quý 4/2017,Quý 1/2018,Quý 2/2018,6 tháng/2018,Quý 3/2018,9 tháng/2018,Quý 4/2018,Quý 1/2019,Quý 2/2019,6 tháng/2019,Quý 3/2019,9 tháng/2019,Quý 4/2019,Quý 1/2020,Quý 2/2020,6 tháng/2020,Quý 3/2020,9 tháng/2020,Quý 4/2020,Quý 1/2021,Quý 2/2021,6 tháng/2021,Quý 3/2021,9 tháng/2021,Quý 4/2021,Quý 1/2022,Quý 2/2022,6 tháng/2022,Quý 3/2022,9 tháng/2022,Quý 4/2022,Quý 1/2023,Quý 2/2023,6 tháng/2023,Quý 3/2023,9 tháng/2023,Quý 4/2023,Quý 1/2024,Quý 2/2024
Cơ cấu GDP  theo giá hiện tại,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nông nghiệp,%,13.25,,18.18,,17.85,,12.88,21.68,17.69,16.92,17.40,,12.35,,16.73,,,,11.44,,15.74,,15.54,,7.77,,15.06,,14.66,,10.34,17.30,14.15,13.61,13.93,15.83,10.16,16.33,13.55,12.65,13.20,15.45,10.11,17.69,14.16,13.86,14.05,16.46,11.71,12.61,12.15,14.23,12.79,11.44,10.94,11.18,11.05,11.38,11.27,12.95,11.66,10.97,11.32,11.76,11.51,12.38,11.77,11.30
Công nghiệp,%,40.23,,38.70,,37.86,,40.32,37.37,38.70,36.95,38.04,,34.80,,33.45,,,,34.24,,32.94,,32.48,,34.06,,32.76,,32.50,,35.26,32.50,33.78,32.94,33.49,35.82,35.25,33.29,34.20,33.63,33.98,35.53,35.52,31.86,33.44,32.59,33.16,34.81,36.45,38.41,37.61,38.79,38.03,38.30,37.97,40.43,39.30,39.99,38.69,37.78,35.47,37.64,36.62,38.12,37.16,37.46,35.73,37.04
Dịch vụ,%,46.52,,43.12,,44.29,,46.80,40.96,43.61,46.14,44.56,,42.23,,39.61,,,,43.61,,41.01,,41.80,,43.99,,41.84,,42.67,,43.77,40.20,41.82,43.74,42.54,38.50,44.04,40.44,42.04,43.89,42.74,39.42,43.71,40.32,42.04,43.92,42.73,39.45,42.20,40.14,41.13,38.23,40.19,41.96,41.70,39.68,40.63,40.29,41.31,41.30,43.65,42.94,43.25,41.92,42.72,42.35,43.48,43.34
Tăng trưởng thực của GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tổng GDP,%,4.76,5,4.90,5.54,5.14,6.04,5.06,,5.18,,5.62,,6.03,,6.28,,6.50,,5.46,,5.52,,5.93,,5.10,6.17,5.73,7.46,6.41,,7.38,6.79,7.08,6.88,6.98,7.31,6.79,6.71,6.76,7.31,6.98,6.97,3.82,0.36,1.81,2.62,2.12,4.48,4.48,6.61,5.64,-6.17,1.42,5.22,5.03,7.72,6.42,13.67,8.83,5.92,3.32,4.14,3.72,5.33,4.24,6.72,5.66,6.93
Nông nghiệp,%,2.24,,2.07,,2.39,,2.37,,2.96,,3,,2.14,,2.36,,1.77,,-1.23,,-0.18,,0.65,,1.38,,2.65,,2.78,,4.05,,3.93,3.46,3.65,3.90,2.68,2.19,2.39,1.53,2.02,1.62,0.08,1.72,1.19,2.93,1.84,4.69,3.16,4.11,3.82,1.04,2.74,3.16,2.45,3.02,2.78,3.24,2.99,3.85,2.52,3.25,3.07,3.72,3.43,4.13,2.98,3.34
Công nghiệp,%,4.93,,5.18,,5.20,,4.69,,5.33,,6.42,,8.35,,9.09,,9.69,,6.72,,7.12,,7.50,,4.17,,5.81,,7.17,,9.70,,9.07,8.61,8.89,8.65,8.63,9.14,8.93,10.05,9.36,7.92,5.15,1.38,2.98,2.95,3.08,5.60,6.30,10.28,8.36,-5.02,3.57,5.61,6.38,8.87,7.70,12.91,9.44,4.22,-0.40,2.50,1.13,5.19,2.41,7.35,6.28,8.29
Dịch vụ,%,5.65,,5.92,,6.25,,5.95,,6.01,,5.99,,5.82,,5.90,,6.17,,6.13,,6.35,,6.66,,6.52,,6.85,,7.25,,6.70,,6.90,6.87,6.89,7.61,6.50,6.85,6.69,7.11,6.85,8.09,3.27,-1.76,0.57,2.75,1.37,4.29,3.34,4.30,3.96,-9.28,0.69,5.42,4.58,8.56,6.60,18.86,10.57,8.12,6.79,6.11,6.33,6.24,6.32,7.29,6.12,7.06
Giá trị GDP (2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GDP theo giá cố định (2010),Tỷ VNĐ,"480,455","614,902","1,095,357","643,601","1,738,985","804,599","503,683","648,415","1,152,098","684,534","1,836,632","859,164","534,573","690,305","1,224,878","729,625","1,954,503","921,353","564,255","728,713","1,292,968","777,912","2,070,880","983,590","593,170","775,495","1,368,665","836,270","2,204,935","1,057,613","637,244","2,358,942.50","1,466,960","1,466,960","2,358,942.50","1,134,963","681,010","884,508","1,565,704","957,109","2,522,978","1,214,052","707,223","887,862","1,594,140","983,730","2,578,108","1,268,385","1,189,216","1,248,813","2,443,187","1,201,066","3,643,802","1,467,490","1,255,312","1,346,821","2,602,382","1,376,321","4,006,189","1,538,951","1,320,755","1,407,473","2,727,672","1,450,322","4,176,814","1,643,902","1,396,660","1,508,387"
Nông nghiệp,Tỷ VNĐ,"65,298","138,831","204,129","109,506","313,635","133,399","66,844","143,337","210,181","112,856","323,037","32,514","66,940","143,003","209,943","35,340","245,283","106,641","66,186","143,095","209,281","114,837","324,118","30,340","49,119","117,499","214,835","83,555","333,053","149,364","70,244","223,482","223,482","345,561.10","345,561.10","154,845","72,261","156,090","228,440","124,487","352,698","157,354","72,406","158,542","575,897","128,735","359,775","164,726","125,510","137,147","265,008","156,017","420,887","157,234","130,990","141,144","272,241","148,123","424,501","178,958","140,836","143,521","284,870","154,316","439,759","184,545","145,600","151,303"
Công nghiệp,Tỷ VNĐ,"192,430","230,162","422,592","241,824","664,416","316,673","200,860","244,266","445,126","261,966","707,092","344,124","184,644","228,346","412,990","136,556","549,546","432,865","197,759","245,730","443,489","263,235","706,724","350,084","206,847","189,759","470,314","235,636","758,614","382,755","227,596","826,087.50","513,350","513,350","826,087.50","415,876","247,733","311,394","559,224","344,648","903,873","448,832","260,602","315,686","599,315","355,168","932,041","473,978","434,967","478,718","913,163","450,933","1,364,438","547,529","462,710","521,538","984,355","516,567","1,477,553","562,396","459,243","512,383","971,854","539,924","1,509,766","605,975","488,208","545,237"
Dịch vụ,Tỷ VNĐ,"222,727","245,909","468,636","292,298","760,934","354,528","235,979","260,812","496,791","309,712","806,503","375,553","216,604","242,717","459,321","290,347","749,668","351,568","229,578","258,729","488,307","310,749","799,056","379,087","244,194","278,136","522,330","334,750","857,080","408,740","260,157","558,608","558,608","915,734.70","915,734.70","440,185","276,919","318,984","595,903","381,359","977,261","475,814","285,964","313,378","188,007","392,479","991,228","496,223","508,697","515,232","1,027,529","481,371","1,508,521","634,633","535,754","558,903","1,094,980","587,647","1,728,262","666,854","590,817","623,253","1,212,811","626,848","1,840,018","716,362","627,420","677,030"
Giá trị GDP hiện hành,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nông nghiệp,Tỷ VNĐ,"90,608","184,605","275,213","156,802","432,015","226,966","97,476","197,604","295,080","169,982","465,062","71,477","99,868","197,829","297,697","50,741","348,438","185,177","97,253","198,637","295,890","176,081","471,971",,"72,411","159,903","310,045","122,166","488,229","279,932","106,260","215,092","321,352","192,510.30","513,355.60","293,080","113,401","223,202","336,753","194,675","531,111","310,617","120,084","244,699","364,732","220,863","585,786","349,207","224,182","258,553","486,485","282,757","765,140","274,540","233,213","256,159","489,649","270,101","770,891","345,510","268,224","268,127","536,480","298,813","836,618","361,551","295,777","308,208"
GDP theo giá hiện hành,Tỷ VNĐ,"683,668","830,435","1,514,103","906,778","2,420,881","1,163,380","756,566","911,612","1,668,178","1,004,792","2,672,970","1,264,886","808,883","970,287","1,779,170","1,072,220","2,851,390","1,341,472","850,315","1,029,558","1,879,873","1,157,955","3,037,828",,"931,607","1,127,215","2,058,822","1,272,433","3,331,255","1,676,602","1,027,928","1,414,236.50","2,270,148","1,242,220","3,685,130.30","1,851,928","1,116,680","1,366,899","2,484,918","1,539,114","4,024,265","2,010,887","1,188,207","1,382,995","2,576,480","1,593,586","4,169,988","2,121,415","1,915,368","2,050,431","4,003,548","1,986,949","5,985,244","2,399,005","2,132,796","2,292,012","4,429,425","2,373,152","6,839,048","2,669,131","2,300,882","2,444,649","4,741,481","2,540,588","7,268,043","2,921,187","2,513,091","2,727,565"
Công nghiệp,Tỷ VNĐ,"275,028","310,970","585,998","330,618","916,616","456,312","305,027","340,651","645,678","371,241","1,016,919","499,263","281,516","313,596","595,112","205,693","800,805","593,325","291,109","328,145","619,254","367,494","986,748",,"317,290","357,152","674,442","408,128","1,082,570","586,998","362,500","465,898.40","766,799","404,299","1,234,019.90","663,357","393,671","455,082","849,830","517,564","1,367,394","714,489","422,089","440,569","861,692","519,397","1,382,675","738,351","698,219","787,580","1,505,538","770,816","2,276,166","918,865","809,861","926,735","1,740,713","948,921","2,646,169","1,008,490","816,185","920,250","1,736,335","968,434","2,700,557","1,094,325","897,978","1,010,232"
Dịch vụ,Tỷ VNĐ,"318,032","334,860","652,892","419,358","1,072,250","480,102","354,063","373,357","727,420","463,569","1,190,989","517,304","341,622","363,042","704,664","450,838","1,155,502","510,460","370,846","400,001","770,847","498,847","1,269,694",,"409,867","451,589","861,456","560,008","1,421,464","648,102","449,923","499,420","949,343","618,499","1,567,772.20","713,029","491,778","552,806","1,044,588","675,535","1,720,123","792,777","519,313","557,662","1,083,270","699,839","1,781,754","836,983","808,319","823,138","1,646,611","759,537","2,405,609","1,006,580","889,376","909,571","1,799,520","956,208","2,825,023","1,102,360","1,004,341","1,049,810","2,050,730","1,065,001","3,104,755","1,237,147","1,092,719","1,182,165"
